City,Country,Lat,Long,Temp_max,Humidity,Cloudiness,Wind_Speed
Pitimbu,BR,-7.47,-34.81,69.8,100,20,4.7
Aklavik,CA,68.22,-135.01,37.4,93,90,12.75
Bonavista,CA,48.65,-53.11,60.37,83,87,27.07
Sirohi,IN,24.88,72.87,85.46,66,0,8.93
Banda Aceh,ID,5.56,95.32,86.72,59,100,9.31
Kampene,CD,-3.6,26.67,68.38,92,51,1.88
Fayaoué,NC,-20.65,166.53,73.04,74,0,11.14
Farafangana,MG,-22.82,47.83,66.16,79,46,5.61
Chara,RU,56.91,118.26,56.39,41,35,8.3
Odesa,UA,46.48,30.73,55.0,100,20,4.27
Maceió,BR,-9.67,-35.74,69.8,94,40,3.36
Codrington,AU,-38.27,141.97,51.26,80,100,13.47
Avarua,CK,-21.21,-159.78,78.8,94,81,5.82
Kavieng,PG,-2.57,150.8,85.95,59,18,5.84
Cártama,ES,36.71,-4.63,77.0,53,64,10.29
Butembo,CD,0.15,29.28,56.91,97,59,1.7
Belmonte,BR,-15.86,-38.88,77.0,69,75,10.29
Westlock,CA,54.15,-113.87,60.8,59,75,6.93
Mandera,KE,3.94,41.87,77.27,68,48,14.18
Bainbridge Island,US,47.63,-122.52,61.0,87,90,11.41
Cabo San Lucas,MX,22.89,-109.91,86.0,79,0,13.29
Nome,US,64.5,-165.41,44.6,52,20,10.29
Rundu,NA,-17.93,19.77,66.07,28,0,7.47
Peniche,PT,39.36,-9.38,66.0,87,99,1.99
Acobamba,PE,-11.35,-75.66,52.3,65,93,3.42
Sørland,NO,67.67,12.69,42.8,56,40,10.29
Ayan,RU,56.45,138.17,53.44,82,0,11.21
Qaanaaq,GL,77.48,-69.36,17.78,84,100,13.33
Cockburn Town,TC,21.46,-71.14,82.62,79,20,13.06
Slătioara,RO,45.12,23.92,55.6,66,47,2.06
Devils Lake,US,48.11,-98.87,51.8,76,1,9.17
Ancud,CL,-41.87,-73.82,43.0,95,18,4.0
Gayny,RU,60.31,54.32,37.13,86,0,3.27
Lentekhi,GE,42.79,42.73,60.91,62,0,3.69
Camopi,GF,3.17,-52.32,72.73,93,46,3.56
Tiksi,RU,71.69,128.87,49.03,63,0,12.33
Leningradskiy,RU,69.38,178.42,30.45,97,100,14.09
Andenes,NO,69.31,16.12,42.8,70,75,24.16
Omboué,GA,-1.57,9.26,75.15,81,100,7.18
Kloulklubed,PW,7.04,134.26,89.6,62,75,3.36
Poddor'ye,RU,57.47,31.12,50.95,89,11,6.2
Port Lincoln,AU,-34.73,135.87,55.42,63,100,25.59
Nanortalik,GL,60.14,-45.24,38.46,76,100,19.46
Biak,ID,-0.91,122.88,82.99,71,98,4.25
Saint-Pierre,RE,-21.34,55.48,70.0,52,47,6.93
Awjilah,LY,29.11,21.29,72.45,46,0,5.37
Kuching,MY,1.55,110.33,82.4,83,20,4.7
Harper,LR,4.38,-7.72,75.33,91,91,8.08
Batemans Bay,AU,-35.72,150.18,61.0,56,54,5.99
São Filipe,CV,14.9,-24.5,79.54,81,27,3.44
Guarapari,BR,-20.67,-40.5,68.0,100,75,4.7
Ukiah,US,39.15,-123.21,69.8,64,75,8.05
Talnakh,RU,69.49,88.4,41.0,86,88,11.18
Kiunga,PG,-6.12,141.29,90.01,56,78,3.74
Nikolskoye,RU,59.7,30.79,55.99,87,74,4.47
Havre-St-Pierre,CA,50.23,-63.6,51.8,81,1,10.29
Portland,US,45.52,-122.68,62.6,93,90,8.05
Forest Grove,US,45.52,-123.11,61.0,93,90,8.05
Suntar,RU,62.14,117.63,56.61,42,0,6.13
Skeldon,GY,5.88,-57.13,78.12,90,35,7.83
Adrar,MR,20.5,-10.07,89.8,30,100,7.29
Krasnoarmiys'k,UA,48.28,37.18,55.13,39,0,7.99
Carutapera,BR,-1.2,-46.02,76.41,84,19,6.69
Hasaki,JP,35.73,140.83,69.8,94,75,21.92
Dinghaicun,CN,26.28,119.79,71.6,94,90,8.95
Caravelas,BR,-17.71,-39.25,73.69,75,100,5.23
Guerrero Negro,MX,27.98,-114.06,77.41,59,0,12.35
Tabou,CI,4.42,-7.35,75.4,91,87,8.3
Provideniya,RU,64.38,-173.3,44.6,70,79,5.75
Hervey Bay,AU,-25.3,152.85,81.0,39,43,5.01
Jalu,LY,29.03,21.55,73.29,44,0,7.02
Flin Flon,CA,54.77,-101.86,43.88,79,7,6.64
Tignère,CM,7.37,12.65,62.74,93,98,1.48
Otofuke,JP,42.99,143.2,60.8,55,75,2.24
Mitsamiouli,KM,-11.38,43.28,77.25,73,2,12.1
Naberera,TZ,-4.2,36.93,61.09,82,81,7.36
Mahébourg,MU,-20.41,57.7,62.6,88,20,3.36
Billingham,GB,54.61,-1.29,45.0,95,68,5.48
Djibo,BF,14.1,-1.63,81.77,60,40,10.8
Saint Anthony,US,45.02,-93.22,75.2,56,1,3.36
Ponta Delgada,PT,37.73,-25.67,64.4,59,40,10.29
Lata,PT,40.16,-8.33,62.01,89,97,0.18
Okhotsk,RU,59.38,143.3,54.81,43,69,4.38
Antalaha,MG,-14.9,50.28,68.49,73,16,7.65
Hambantota,LK,6.12,81.12,85.01,66,87,14.27
Diré,ML,12.28,-10.97,72.01,93,100,1.81
Lao Cai,VN,22.48,103.95,72.93,86,100,0.47
Yola,NG,9.2,12.48,74.71,90,95,4.03
Hilo,US,19.73,-155.09,77.0,94,90,4.7
Tres Arroyos,AR,-38.37,-60.28,45.84,55,0,8.75
Carnarvon,AU,-24.87,113.63,75.2,69,75,13.87
Sturgis,US,41.8,-85.42,60.8,87,1,5.48
Vao,NC,-22.67,167.48,71.96,70,0,10.65
Sorong,ID,-0.88,131.25,83.5,69,42,6.22
La Asuncion,VE,11.03,-63.86,82.09,88,100,9.55
Zeya,RU,53.75,127.27,49.06,92,100,7.11
Santiago,CL,-33.46,-70.65,62.6,55,100,4.7
Eenhana,NA,-17.47,16.33,69.8,28,0,3.36
Tasiilaq,GL,65.61,-37.64,28.4,63,54,6.78
Klaksvík,FO,62.23,-6.59,42.8,93,98,9.28
Port Hardy,CA,50.7,-127.42,53.6,100,75,4.7
Pevek,RU,69.7,170.31,32.9,90,28,20.92
Skibbereen,IE,51.55,-9.27,44.6,81,40,18.34
Chumikan,RU,54.72,135.31,59.77,56,0,3.78
Ternate,ID,0.8,127.4,83.53,73,44,5.7
San-Pédro,CI,4.75,-6.64,74.79,93,86,6.53
Tayu,ID,-6.54,111.05,90.93,54,10,4.72
Yeppoon,AU,-23.13,150.73,84.2,37,40,5.82
Norman Wells,CA,65.28,-126.83,55.4,54,75,8.05
Saint-François,FR,46.42,3.91,62.6,77,90,2.24
Libreville,GA,0.39,9.45,77.0,88,75,8.05
Srednekolymsk,RU,67.45,153.68,46.83,66,100,12.44
Mozarlândia,BR,-14.74,-50.57,77.58,55,61,5.21
Atar,MR,20.52,-13.05,90.09,32,2,4.05
Xingyi,CN,24.19,102.82,59.81,91,100,1.34
Tatarka,RU,44.96,41.95,53.01,93,0,8.95
Kalmunai,LK,7.42,81.82,86.76,61,96,2.53
Lompoc,US,34.64,-120.46,64.0,82,1,5.82
Port Elizabeth,ZA,-33.92,25.57,51.8,93,75,2.24
Bitkine,TD,11.98,18.21,72.66,78,100,6.98
Praia,CV,14.92,-23.51,77.0,88,20,5.82
Desbiens,CA,48.42,-71.95,51.8,87,90,6.93
Shakawe,BW,-18.37,21.85,63.81,32,0,4.12
Bolitoc,PH,15.74,119.88,85.96,69,97,7.0
Igrim,RU,63.19,64.42,41.68,87,66,4.99
Santa Rosa,PH,14.31,121.11,90.0,74,40,8.05
Ikwiriri,TZ,-7.96,38.97,72.64,87,24,2.95
Katsuura,JP,35.13,140.3,71.01,88,75,23.04
Venado Tuerto,AR,-33.75,-61.97,55.99,58,96,5.99
Kežmarok,SK,49.14,20.43,51.01,100,20,3.36
Baykit,RU,61.67,96.37,43.79,87,100,2.57
Alyangula,AU,-13.85,136.42,93.2,38,0,13.87
Vostok,RU,46.49,135.88,65.28,46,2,1.97
Bogorodskoye,RU,56.55,37.88,53.46,93,82,5.59
Ust'-Kan,RU,50.93,84.76,42.66,69,100,21.16
Soe,ID,-9.86,124.28,88.27,31,13,11.88
Huancabamba,PE,-5.24,-79.45,58.15,75,77,7.76
Padang,ID,-0.95,100.35,81.66,74,98,3.11
Clyde River,CA,70.47,-68.59,33.8,74,90,14.99
Buala,SB,-8.14,159.59,82.6,76,60,4.05
Fort Frances,CA,48.6,-93.4,57.2,76,20,5.82
Bud,US,39.45,-86.18,61.0,87,1,5.41
Tautira,PF,-17.73,-149.15,82.4,65,20,10.29
Palauig,PH,15.44,119.9,85.23,70,94,7.38
Kingaroy,AU,-26.53,151.83,78.8,12,0,11.41
Vardø,NO,70.37,31.11,48.2,61,24,32.21
Hirara,JP,24.8,125.28,86.0,62,20,10.29
Lagos,NG,6.58,3.75,77.0,88,20,2.24
Yomou,GN,7.56,-9.27,69.85,99,99,3.71
Port-Cartier,CA,50.03,-66.87,59.0,67,20,13.87
Karratha,AU,-20.74,116.85,89.55,13,43,10.0
Bilibino,RU,68.05,166.44,37.99,78,73,8.39
Farmington,US,36.73,-108.22,71.6,18,1,11.41
Laguna,US,38.42,-121.42,73.99,53,1,9.17
Katsina,NG,12.99,7.6,75.65,74,55,10.85
Fairbanks,US,64.84,-147.72,50.0,81,90,6.93
Hithadhoo,MV,-0.6,73.08,82.2,61,78,4.72
Kiryas Joel,US,41.34,-74.17,55.4,93,5,5.82
Le Havre,FR,49.49,0.11,53.6,76,20,13.87
Muros,ES,42.78,-9.06,55.99,95,77,1.99
Jambi City,ID,-1.6,103.62,88.79,60,99,4.79
Pelym,RU,61.01,62.0,44.19,87,87,7.9
Hong Kong,HK,22.29,114.16,84.99,76,83,2.48
Lavrentiya,RU,65.58,-171.0,41.04,73,77,8.48
Sidi Ali,DZ,36.1,0.42,71.47,59,81,4.25
Lagoa,PT,39.05,-27.98,66.31,68,100,13.89
Dikson,RU,73.51,80.55,39.27,90,81,19.35
Moose Factory,CA,51.26,-80.61,44.6,93,90,8.05
Itacoatiara,BR,-3.14,-58.44,76.32,84,56,1.57
Jiancheng,CN,30.39,104.55,73.4,73,40,4.47
Adeje,ES,28.12,-16.73,71.6,64,100,2.24
Iqaluit,CA,63.75,-68.51,37.4,74,90,19.46
Coyhaique,CL,-45.58,-72.07,39.2,69,9,4.7
Whitehorse,CA,60.72,-135.05,48.2,70,75,8.05
Bulolo,PG,-7.2,146.65,83.68,63,40,2.26
Rome,US,43.21,-75.46,53.01,87,1,3.36
Saint-Augustin,CA,51.23,-58.65,56.88,90,100,19.8
Bocanda,CI,7.06,-4.5,72.48,95,100,4.99
Kirovskiy,RU,45.09,133.51,67.78,50,0,4.99
Rāwah,IQ,34.48,41.91,75.36,45,0,9.44
Ahipara,NZ,-35.17,173.17,59.88,92,100,14.36
Hingatungan,PH,10.58,125.19,88.45,64,100,6.22
Linqiong,CN,30.42,103.46,73.4,73,40,4.47
Mana,GF,5.66,-53.78,78.66,86,19,10.67
Bose,IT,45.46,8.01,63.0,90,100,1.99
Reinbek,DE,53.52,10.25,61.0,41,66,10.31
Rovaniemi,FI,66.5,25.72,48.2,100,100,4.7
Sitka,US,57.05,-135.33,53.6,93,75,9.17
Pahlgām,IN,34.03,75.33,64.56,29,0,3.85
Grindavik,IS,63.84,-22.43,37.4,74,75,23.04
Taoudenni,ML,22.68,-3.98,90.52,18,0,2.01
Souillac,MU,-20.52,57.52,62.6,88,20,3.36
Davidson,US,36.15,-86.78,62.6,93,90,3.36
Augusto Corrêa,BR,-1.02,-46.63,75.81,86,15,4.59
Zhezkazgan,KZ,47.8,67.71,50.0,61,13,13.42
Shaoyang,CN,27.23,111.45,65.01,89,100,2.15
Clarence Town,AU,-32.58,151.78,72.0,30,0,23.04
Al Bardīyah,LY,31.76,25.09,72.61,83,0,6.26
Dingle,PH,11.0,122.67,85.59,78,100,11.95
Noumea,NC,-22.28,166.46,84.2,39,20,12.75
Curicó,CL,-34.98,-71.23,57.0,76,100,2.24
East London,ZA,-33.02,27.91,62.6,93,90,4.7
Zaysan,KZ,47.47,84.87,63.21,30,100,9.64
Gamba,GA,-2.65,10.0,75.04,84,100,4.76
Werda,BW,-25.27,23.28,62.94,49,2,10.51
Icó,BR,-6.4,-38.86,72.93,70,56,1.77
Khandyga,RU,62.67,135.6,56.8,43,0,3.36
Nhulunbuy,AU,-12.23,136.77,87.8,55,40,14.99
Sisimiut,GL,66.94,-53.67,28.74,80,7,18.61
Uchaly,RU,54.3,59.45,41.2,72,38,15.3
Kaeo,NZ,-35.1,173.78,64.0,83,100,13.0
Almaznyy,RU,48.04,40.05,53.6,46,0,2.24
‘Ewa Beach,US,21.32,-158.01,87.8,55,1,9.17
Pangkalanbuun,ID,-2.68,111.62,93.0,46,75,5.59
Beni Suef,EG,29.07,31.1,68.07,91,0,9.1
Oktyabr'skiy,RU,54.48,53.47,45.28,76,0,2.24
Imeni Poliny Osipenko,RU,52.42,136.49,61.57,57,3,6.6
Vanimo,PG,-2.67,141.3,85.77,59,100,5.64
Hokitika,NZ,-42.72,170.97,56.98,77,8,4.72
Flinders,AU,-34.58,150.86,68.0,43,0,13.0
Tual,ID,-5.67,132.75,80.35,82,96,11.48
Herat Province,AF,34.5,62.0,60.8,18,0,3.36
Kérouané,GN,9.27,-9.02,69.19,92,99,2.35
Cortez,US,37.35,-108.59,66.99,33,1,6.93
Sergeevka,KZ,53.88,67.42,45.57,75,93,20.94
Bahía Blanca,AR,-38.72,-62.27,55.67,54,1,9.44
Ipala,GT,14.62,-89.62,67.55,92,76,1.9
Westport,US,41.14,-73.36,64.4,72,1,3.36
Brasiléia,BR,-11.02,-68.75,74.75,76,9,1.97
Nuevo Ideal,MX,24.89,-105.07,57.16,47,0,3.56
Husavik,IS,66.04,-17.34,33.8,92,90,2.24
Acapulco de Juárez,MX,16.86,-99.89,80.76,82,7,3.49
Muromtsevo,RU,56.37,75.24,45.46,91,100,7.9
Rincon,US,32.3,-81.24,69.8,68,40,3.36
Lorengau,PG,-2.02,147.27,86.0,58,45,6.67
Lüderitz,NA,-26.65,15.16,57.58,70,79,6.29
Vizinga,RU,61.07,50.1,39.22,88,11,4.56
Divnogorsk,RU,55.96,92.36,48.2,81,99,8.95
Zirándaro de los Chávez,MX,18.45,-100.98,77.2,83,98,2.48
Dingzhou,CN,38.51,115.0,68.0,82,75,2.24
Seoul,KR,37.57,126.98,77.0,50,90,5.82
Ranong,TH,9.97,98.63,82.4,83,75,3.36
Tcholliré,CM,8.4,14.17,69.64,87,57,3.83
Sola,VU,-13.88,167.55,87.8,62,40,5.82
Nyköping,SE,58.75,17.01,51.8,100,40,3.36
Kholm,RU,59.27,32.85,54.45,97,100,7.25
Illapel,CL,-31.63,-71.17,58.46,46,100,0.67
Naze,JP,28.37,129.48,84.2,83,40,9.17
Baiima,SL,8.1,-11.85,71.71,98,26,0.31
Mâncio Lima,BR,-7.61,-72.9,73.83,71,13,0.83
Kawalu,ID,-7.38,108.21,83.16,65,90,5.48
Mujiayingzi,CN,42.12,118.78,65.48,53,100,5.91
Takoradze,GH,4.88,-1.76,74.19,93,91,7.78
Bolshaya Martynovka,RU,47.27,41.67,58.28,72,90,5.35
Kashgar,CN,39.45,75.98,68.0,28,0,8.95
Teya,RU,60.38,92.63,48.33,73,63,5.64
Helsinge,DK,56.02,12.2,61.0,85,85,3.0
Skellefteå,SE,64.75,20.95,46.4,87,100,3.36
Nouadhibou,MR,20.93,-17.03,73.4,78,0,11.41
Roald,NO,62.58,6.13,48.2,81,100,25.28
Marzuq,YE,14.4,46.47,80.92,31,67,2.13
Kaitangata,NZ,-46.28,169.85,55.99,59,97,7.0
Ambilobe,MG,-13.2,49.05,70.0,54,83,4.32
Namatanai,PG,-3.67,152.43,86.43,60,32,4.14
Praia,CV,14.92,-23.51,77.0,88,20,5.82
Indianola,US,41.36,-93.56,68.0,77,20,4.7
Kargat,RU,55.2,80.28,45.3,85,100,15.41
Nuuk,GL,64.18,-51.72,35.6,47,65,10.29
Thinadhoo,MV,0.53,72.93,82.44,65,41,7.11
Ryde,GB,50.73,-1.16,55.99,85,32,1.01
Huamachuco,PE,-7.8,-78.07,47.52,86,26,5.03
Halifax,CA,44.65,-63.57,57.99,83,100,11.12
Rossland,CA,49.08,-117.8,48.99,96,100,1.61
Orlik,RU,52.52,99.83,51.4,57,99,2.33
Palmer,US,42.16,-72.33,57.0,93,0,2.77
Xining,CN,36.62,101.77,57.0,52,99,4.76
San Quintín,MX,30.48,-115.95,71.6,65,0,8.61
Kavaratti,IN,10.57,72.64,84.2,79,40,13.87
Cartagena,CO,10.4,-75.51,82.2,80,99,3.89
Tuatapere,NZ,-46.13,167.68,51.01,89,95,4.0
Rangpo,IN,27.18,88.53,78.8,88,75,3.36
Zduńska Wola,PL,51.6,18.94,60.01,88,26,4.0
Sarakhs,IR,36.54,61.16,51.8,24,0,4.7
Puerto Ayacucho,VE,5.66,-67.62,76.86,91,100,1.72
Ati,TD,13.22,18.34,81.68,54,100,9.86
Mnogovershinnyy,RU,53.94,139.92,57.51,53,2,0.74
San Cristobal,VE,7.77,-72.22,66.74,86,100,3.24
Shimoda,JP,34.67,138.95,69.8,77,75,38.03
Dubbo,AU,-32.25,148.62,62.6,51,75,16.11
Lafayette,US,30.23,-92.07,71.6,94,90,12.75
Belyy Yar,RU,53.6,91.39,44.6,93,100,2.24
Safford,US,32.83,-109.71,82.4,24,1,3.36
Svetlaya,RU,46.54,138.33,60.76,66,59,4.94
Horodnytsya,UA,50.81,27.32,49.6,50,65,6.64
Esso,RU,55.93,158.7,41.81,62,29,11.16
Petra,JO,30.32,35.48,57.97,79,0,1.66
Loreto,MX,22.27,-101.97,61.9,32,1,6.91
Ritchie,ZA,-29.04,24.6,59.0,44,0,6.93
Turukhansk,RU,65.82,87.98,47.57,82,100,13.73
Marawi,PH,8.0,124.29,84.99,76,79,8.01
Araçatuba,BR,-21.21,-50.43,69.67,71,1,11.16
Haines Junction,CA,60.75,-137.51,44.65,75,87,1.97
Udachny,RU,66.42,112.4,48.2,45,0,6.71
Waipawa,NZ,-41.41,175.52,60.8,77,6,25.28
Atherton,GB,53.52,-2.49,45.0,99,31,4.0
Nokaneng,BW,-19.67,22.27,64.13,37,0,7.18
Cedar City,US,37.68,-113.06,68.0,22,1,5.82
Yagodnoye,RU,62.55,149.67,41.11,67,87,8.05
Mogocha,RU,53.73,119.77,48.42,73,100,2.48
Bathsheba,BB,13.22,-59.52,84.2,74,20,11.41
Marabu,MY,4.41,114.01,84.2,74,20,5.82
Caborca,MX,30.58,-111.1,86.0,32,16,5.01
Cape Canaveral,US,28.41,-80.6,80.6,73,1,6.93
Berezniki,RU,59.42,56.81,37.0,99,5,6.26
Sobolevo,RU,54.43,31.9,48.72,73,72,6.53
Baghdad,IQ,33.34,44.4,71.6,46,0,8.05
Valentín Gómez Farías,MX,28.22,-106.58,75.0,30,43,4.0
Bereda,ES,43.27,-7.54,55.99,100,97,7.0
Walvis Bay,NA,-22.96,14.51,55.0,95,0,1.97
Merrill,US,45.18,-89.68,64.99,87,1,4.43
Lesosibirsk,RU,58.24,92.48,49.3,77,75,7.76
Gondanglegi,ID,-7.75,112.01,91.29,47,0,16.42
Izumo,JP,35.37,132.77,75.2,78,75,2.24
Chimbote,PE,-9.09,-78.58,61.54,85,96,7.09
Dunedin,NZ,-45.87,170.5,55.0,67,95,11.01
Luebo,CD,-5.35,21.42,69.57,94,98,1.21
Arrondissement de Saint-Denis,FR,48.92,2.33,54.0,87,3,11.41
Yulara,AU,-25.24,130.99,78.8,14,0,6.93
Meulaboh,ID,4.14,96.13,84.38,70,90,6.8
Wajima,JP,37.4,136.9,78.8,69,75,6.93
Rio Grande,BR,-32.03,-52.1,59.11,87,100,4.7
Narsaq,GL,60.92,-46.05,37.4,40,100,4.7
Tambopata,PE,-12.73,-69.18,73.89,70,41,0.85
Cam Ranh,VN,11.92,109.16,93.2,59,20,9.17
Urusha,RU,54.05,122.9,52.32,65,38,5.23
Bereket,TM,39.24,55.52,65.73,24,0,15.43
Palmerston,AU,-12.49,130.98,96.01,55,40,10.29
Ulaangom,MN,49.98,92.07,55.53,41,100,3.69
Qandala,SO,11.47,49.87,89.42,52,22,6.11
St. George's,GD,12.06,-61.75,86.0,79,20,14.99
